run_id,dispersion,max_iter,prediction,penalty,alpha,l1_ratio,mse,mae
310a8699-4a7e-4355-b56b-37735c4478ed,0.3,500,mode,elasticnet,0.001,0.0,22.751715446015965,3.81361153900014
d2b2ff3b-2eb5-4487-b46d-a178d8b85b5e,0.3,500,mode,elasticnet,0.0001,0.0,22.754586192410027,3.81382159361434
8efd6b30-da80-46b9-b21b-de0dee283902,0.3,500,mode,elasticnet,0.01,0.0,22.75507631984316,3.814451757456939
4621b7d2-64c4-488c-ae54-7f7ef243e869,0.3,500,mode,elasticnet,0.0001,0.5,22.76480885030108,3.814521775661672
d53ffe28-f13e-4535-80b1-8ed420e36963,0.3,500,mode,elasticnet,0.0001,1.0,22.77006021565607,3.815011903094805
98963239-3154-46a7-a68c-36b2224e7f4e,0.3,500,mode,elasticnet,0.1,0.0,22.78693460299678,3.8162022125752695
f978f931-ac4b-4967-92df-aa337d04cd2c,0.3,500,mode,elasticnet,0.001,0.5,22.81249124772441,3.819353031788265
aca3cd29-b564-4372-afc7-052d6d5ad1a9,0.3,500,mode,elasticnet,0.001,1.0,22.812911356952807,3.819353031788265
8a31bec6-75b0-4b2a-9094-7c28c5e83f38,0.3,500,mode,elasticnet,1.0,0.0,23.028427391121692,3.842459039350231
5025d2db-7849-4e97-9624-9a3291467327,0.3,500,mode,elasticnet,0.01,0.5,23.044601596415067,3.844209494468562
e1d3af33-3e11-4928-8dc9-5681061ee674,0.3,500,mode,elasticnet,0.01,1.0,23.363324464360733,3.87711805069318
842fd5b6-ddee-4e23-b9ce-4d4f6abc1ff4,0.3,500,mode,elasticnet,0.1,0.5,24.335037109648507,3.974443355272371
54ad0deb-28f1-46f3-a5f2-b99ddbc61995,0.3,500,mode,elasticnet,0.1,1.0,24.39700322083742,3.9798347570368295
289ba4e2-d021-4437-9115-9902f8330a39,0.3,500,mode,elasticnet,1.0,0.5,24.39700322083742,3.9798347570368295
4fa2e3a4-f516-456b-bf35-5be25e93a400,0.3,500,mode,elasticnet,1.0,1.0,24.39700322083742,3.9798347570368295
74a8036d-a33f-4e0b-bb91-07cdb8714fe8,1.0,500,mode,elasticnet,0.0001,0.0,103.9791345749895,9.631844279512674
748c7b9e-8057-4e07-9eef-f2a94f2ed185,1.0,500,mode,elasticnet,0.0001,0.5,103.9791345749895,9.631844279512674
eb7437ae-8f7b-42e7-975c-af2b8ae0b793,1.0,500,mode,elasticnet,0.0001,1.0,103.9791345749895,9.631844279512674
2bfa82bf-c1ae-4547-88a4-4ab533ed0b43,1.0,500,mode,elasticnet,0.001,0.0,103.9791345749895,9.631844279512674
da5ef9eb-81c0-47db-9a28-30cf516aeb89,1.0,500,mode,elasticnet,0.001,0.5,103.9791345749895,9.631844279512674
417f952c-077b-4cba-b031-37984731be85,1.0,500,mode,elasticnet,0.001,1.0,103.9791345749895,9.631844279512674
02180c05-7e89-47fa-8531-2236fbab360b,1.0,500,mode,elasticnet,0.01,0.0,103.9791345749895,9.631844279512674
5dd07b11-c491-4e22-97f0-3d78b1ff53cb,1.0,500,mode,elasticnet,0.01,0.5,103.9791345749895,9.631844279512674
6c072cf0-7e60-491e-9812-cf14928a74a2,1.0,500,mode,elasticnet,0.01,1.0,103.9791345749895,9.631844279512674
1cd27649-b5dc-4c77-abb8-89b1294e9a40,1.0,500,mode,elasticnet,0.1,0.0,103.9791345749895,9.631844279512674
62b61505-361f-4ce6-b0f0-dc9dc4fae836,1.0,500,mode,elasticnet,0.1,0.5,103.9791345749895,9.631844279512674
b0368a73-a56a-45f2-8969-7fdabc8cdded,1.0,500,mode,elasticnet,0.1,1.0,103.9791345749895,9.631844279512674
8f436921-114c-4f59-88d2-1abf60c266c9,1.0,500,mode,elasticnet,1.0,0.0,103.9791345749895,9.631844279512674
81fd8116-a43e-4918-9937-ac750efccabc,1.0,500,mode,elasticnet,1.0,0.5,103.9791345749895,9.631844279512674
62bce3e7-5427-4be7-89a5-dc3681335caf,1.0,500,mode,elasticnet,1.0,1.0,103.9791345749895,9.631844279512674
